"Parcel ID","Address","Sale Price","Sale Date","Sale Condition","Assessed Value","Parcel Type","Year Built","Total Living Area","Finished Bsmt Area","Lot Area","Bedrooms","Central Air","Fireplaces","Occupancy","Style","Neighborhood","INSTRUMENTNUMBER"
"0527365030","2914 SOMERSET DR","293000","3/1/2016 12:00:00 AM","Normal","252300","Dwg&Lot","2009","1935","544","8004","4","Yes","0","Single-family detached (includes detached townhouses)","Two story","Somerst","201601703"
"0908154100","4133 COCHRANE PKY","118300","7/1/2007 12:00:00 AM","Normal","647700","Dwg&Lot","2009","2528","1826","24044","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Edwards","707659"
"0908154145","4114 COCHRANE PKY","0","","No Data","698500","Dwg&Lot","2009","2228","3212","20718","1","Yes","2","Single-family detached (includes detached townhouses)","One story","Edwards","915158"
"0907418030","816 POE AVE","220000","3/1/2016 12:00:00 AM","Normal","199200","Dwg&Lot","2009","1291","0","9627","3","Yes","1","Single-family detached (includes detached townhouses)","One story","CollgCr","201603013"
"0921128040","2702 COTTONWOOD RD","82636","4/1/2009 12:00:00 AM","Normal","682900","Dwg&Lot","2009","2639","1968","12633","2","Yes","2","Single-family detached (includes detached townhouses)","One story","Timber","904631"
"0905453010","3611 STORY ST","195000","4/1/2016 12:00:00 AM","Normal","183100","Dwg&Lot","2009","972","740","9546","2","Yes","0","Single-family detached (includes detached townhouses)","One story","Edwards","201603694"
"0905453020","3605 STORY ST","199900","4/1/2014 12:00:00 AM","Normal","197300","Dwg&Lot","2009","988","844","10022","2","Yes","0","Single-family detached (includes detached townhouses)","One story","Edwards","201403487"
"0905453030","219 CRANE AVE","202500","12/1/2012 12:00:00 AM","Normal","206200","Dwg&Lot","2009","1070","667","11806","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Edwards","201215383"
"0905453040","218 CRANE AVE","234500","5/1/2015 12:00:00 AM","Normal","218300","Dwg&Lot","2009","1212","988","10420","3","Yes","0","Single-family detached (includes detached townhouses)","One story","Edwards","201504102"
"0905453080","3520 STORY ST","308030","1/1/2010 12:00:00 AM","Partial","276100","Dwg&Lot","2009","1508","1506","17485","1","Yes","2","Single-family detached (includes detached townhouses)","One story","Edwards","1000920"
"0528104040","3105 SEDWICK ST","71550","12/1/2009 12:00:00 AM","Normal","504900","Dwg&Lot","2009","2777","1597","13777","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","1000125"
"0528108030","3114 SEDWICK ST","515000","7/1/2016 12:00:00 AM","Normal","482800","Dwg&Lot","2009","2393","274","12220","3","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","201607813"
"0528108040","3106 SEDWICK ST","404900","6/1/2013 12:00:00 AM","Normal","419600","Dwg&Lot","2009","2573","810","12350","3","Yes","1","Single-family detached (includes detached townhouses)","Two story","NRidgHt","201306858"
"0528108050","3028 SEDWICK ST","69000","3/1/2009 12:00:00 AM","Normal","510600","Dwg&Lot","2009","2284","1784","12480","2","Yes","1","Single-family detached (includes detached townhouses)","One story","NRidgHt","903115"
